Manufacturer,Model Year,Regulatory Class,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Horsepower (HP),Footprint (sq. ft.)
Hyundai,2018,All,28.55494,24.51514,32.60863,311.13986,362.40403,272.46688,3469.591,175.2644,46.60752
Hyundai,2019,All,28.51925,24.83897,32.10809,310.59654,356.70752,275.81106,3494.087,173.8821,46.64418
Hyundai,2020,All,28.42597,24.7957,31.95536,311.84677,357.63151,277.3074,3574.039,181.7246,47.24455
Hyundai,2021,All,28.97387,25.48523,32.31048,305.179,347.27768,273.42035,3641.169,194.8268,47.66221
Kia,1993,All,26.13454,23.4273,29.54129,340.048,379.3437,300.83319,2750,82,-
Kia,1994,All,26.9255,24.35005,30.0073,330.05882,364.96853,296.16126,2750,88,-
Kia,1995,All,23.26381,20.66898,26.42303,382.00968,429.96793,336.33544,3005.664,102.5787,-
Kia,1996,All,22.36333,19.79343,25.43496,397.39156,448.98728,349.40094,2931.542,123.3562,-
Kia,1997,All,22.66898,20.11556,25.62064,392.03352,441.79731,346.86873,3016.202,124.127,-
Kia,1998,All,22.77765,19.98123,26.00826,390.1632,444.76742,341.69918,3024.373,126.8292,-
Kia,1999,All,22.50627,19.74499,25.61015,394.86772,450.08878,347.01082,3050.784,127.0052,-
Kia,2000,All,21.72184,18.94651,24.79854,409.12741,469.05735,358.36793,3047.764,126.9851,-
Kia,2001,All,22.35927,19.53101,25.40111,397.46384,455.02002,349.86654,2972.226,121.0073,-
Kia,2002,All,20.66447,17.9526,23.53889,430.06177,495.02572,377.54534,3483.062,135.8679,-
Kia,2003,All,19.93507,17.01904,23.0582,445.79729,522.17978,385.41611,3720.522,151.3231,-
Kia,2004,All,20.18399,16.91109,23.73155,440.29936,525.5132,374.48032,3822.249,160.0195,-
Kia,2005,All,19.63857,16.30119,23.22571,452.52792,545.17493,382.63631,4004.677,167.9475,-
Kia,2006,All,21.59427,18.07353,25.31434,411.54439,491.71367,351.06581,3698.06,169.3308,-
Kia,2007,All,22.49439,18.9832,26.14208,395.07633,468.15068,339.95006,3685.615,179.056,-
Kia,2008,All,22.88472,19.31668,26.5899,388.33764,460.06878,334.22468,3647.296,174.5222,45.65677
Kia,2009,All,24.18877,20.65067,27.77923,367.40187,430.34926,319.91524,3481.254,166.897,44.86203
Kia,2010,All,26.96651,23.23753,30.68065,329.55694,382.44171,289.66141,3168.509,157.1743,44.59024
Kia,2011,All,25.64108,22.14857,29.10306,346.59223,401.24484,305.36306,3563.477,185.7368,45.92225
Kia,2012,All,26.23225,22.50879,29.9726,338.78152,394.82356,296.50418,3490.203,190.9926,46.19375
Kia,2013,All,27.24594,23.40277,31.09857,326.177,379.74145,285.76873,3361.152,183.2497,45.54752
Kia,2014,All,25.66228,21.90255,29.47979,346.3059,405.75181,301.46075,3438.415,186.5823,46.06757
Kia,2015,All,26.06393,22.11238,30.12514,340.84997,401.79973,294.87032,3453.195,187.4736,46.65471
Kia,2016,All,26.23074,22.39154,30.12761,338.46407,396.60336,294.60461,3507.865,187.4667,47.0806
Kia,2017,All,27.14083,23.39867,30.86463,327.06288,379.41969,287.56563,3592.416,185.6254,47.2053
Kia,2018,All,27.78682,23.94066,31.61887,319.4265,370.70183,280.74511,3521.023,182.2523,46.86244
Kia,2019,All,28.06764,24.40846,31.64667,315.65341,363.03146,279.91207,3585.174,185.5888,47.04353
Kia,2020,All,27.70088,24.09696,31.22371,320.00553,367.96609,283.82475,3621.667,193.3147,47.46475
Kia,2021,All,28.0906,24.71275,31.32012,315.94061,359.1865,283.31651,3595.963,192.1531,47.62826
Mazda,1975,All,14.57325,13.238,16.62247,609.81588,671.32513,534.6379,2823.151,114.8201,-
Mazda,1976,All,18.16984,16.50185,20.73097,489.10712,538.54566,428.68223,2873.4,114.2336,-
Mazda,1977,All,24.48623,22.74488,27.01403,362.93868,390.72535,328.97721,2571.994,80.8085,-
Mazda,1978,All,29.94373,28.67911,31.64948,296.78997,309.87714,280.79453,2312.338,54.8682,-
Mazda,1979,All,22.00559,19.9896,25.09945,403.85189,444.58123,354.07157,2573.831,90.8601,-
Mazda,1980,All,22.34188,20.39223,25.29806,397.77313,435.80334,351.29176,2577.98,78.2319,-
Mazda,1981,All,26.4149,24.75635,28.77073,336.43888,358.97862,308.8903,2493.167,76.496,-
Mazda,1982,All,25.24183,23.59559,27.59494,353.42358,378.03884,323.33825,2578.014,77.9574,-
Mazda,1983,All,24.99625,23.03706,27.89586,356.18559,386.44154,319.2061,2614.28,81.7694,-
Mazda,1984,All,25.43518,23.43224,28.40246,349.90853,379.79354,313.38241,2701.564,80.7673,-
Mazda,1985,All,25.28988,23.09452,28.6144,351.59434,385.01154,310.75109,2546.579,84.6409,-
Mazda,1986,All,24.33757,22.09452,27.68426,365.15555,402.2265,321.01273,2827.823,92.5196,-
Mazda,1987,All,23.43577,21.17488,26.75125,379.2066,419.69534,332.20881,2881.895,94.8894,-
Mazda,1988,All,23.53666,21.18067,26.9264,377.58124,419.58075,330.04778,2908.742,106.7229,-
Mazda,1989,All,23.23735,20.94005,26.43717,382.44459,424.4021,336.15544,3022.305,105.8832,-
Mazda,1990,All,22.94006,20.59115,26.151,387.4009,431.59319,339.83401,3062.714,114.7194,-
Mazda,1991,All,22.62053,20.2523,25.78709,392.87322,438.81436,344.62979,3123.272,116.8874,-
Mazda,1992,All,22.99353,20.53472,26.2087,386.50004,432.77912,339.08592,3143.294,121.6325,-
Mazda,1993,All,23.64527,20.9544,27.13112,375.84685,424.11133,327.5574,3022.785,123.7974,-
Mazda,1994,All,22.73813,20.06444,26.14169,390.84131,442.92281,339.95507,3170.292,126.8063,-
Mazda,1995,All,24.29053,21.13508,28.33013,365.86279,420.48578,313.69433,3095.546,124.7291,-
Mazda,1996,All,24.80198,21.56572,28.83551,358.31816,412.08927,308.19638,2990.636,120.3402,-
Mazda,1997,All,24.28844,21.10144,28.15851,365.89422,421.156,315.60619,3003.612,121.05,-
Mazda,1998,All,22.6986,19.78675,26.1116,391.52189,449.13889,340.34681,3219.145,128.3854,-
Mazda,1999,All,23.36654,20.43678,26.68151,380.33011,434.85334,333.07709,3053.576,129.4206,-
Mazda,2000,All,22.28524,19.48328,25.37464,398.78421,456.13471,350.23163,3228.266,137.5738,-
Mazda,2001,All,21.191,18.36556,24.28309,419.3762,483.89497,365.97478,3337.68,153.1994,-
Mazda,2002,All,21.92359,18.98539,25.05874,405.36251,468.09674,354.6467,3287.494,155.0044,-
Mazda,2003,All,21.90263,18.8332,25.13976,405.75038,471.87937,353.50378,3378.792,166.5837,-
Mazda,2004,All,21.54839,18.37175,24.86845,412.42064,483.73169,357.3604,3392.356,186.017,-
Mazda,2005,All,22.09686,19.01325,25.17723,402.18392,467.41079,352.97768,3393.81,175.9587,-
Mazda,2006,All,23.193,19.85298,26.56446,383.17598,447.64062,334.54476,3303.049,172.9889,-
Mazda,2007,All,22.66345,19.32507,26.05949,392.12924,459.86897,341.02733,3441.798,187.0596,-
Mazda,2008,All,23.0813,19.73705,26.46401,385.03037,450.26996,335.81455,3447.556,183.6589,44.67016
Mazda,2009,All,23.22045,19.78113,26.72593,382.72305,449.26658,332.52354,3508.815,187.2576,45.776
Mazda,2010,All,24.44508,20.70172,28.30638,363.54962,429.28807,313.95745,3454.235,177.6314,45.39578
Mazda,2011,All,24.75829,21.15549,28.40794,358.95042,420.08012,312.83503,3393.806,173.2723,45.29212
Mazda,2012,All,26.81493,22.86854,30.82826,331.41985,388.61252,288.2745,3329.749,170.561,44.90033
Mazda,2013,All,27.79807,24.05353,31.49706,319.69849,369.46765,282.15333,3295.055,165.4477,44.70774
Mazda,2014,All,29.0193,25.14397,32.8373,306.24447,353.44458,270.63737,3433.101,174.7125,46.0392
Mazda,2015,All,29.2049,25.20784,33.173,304.29829,352.5491,267.89856,3472.806,178.392,46.34634
Mazda,2016,All,29.5562,25.85628,33.13286,300.68146,343.70761,268.22313,3507.121,176.7092,45.99664
Mazda,2017,All,29.04931,25.11036,32.94832,305.92806,353.9176,269.72543,3568.974,177.5957,45.98772
Mazda,2018,All,28.68086,24.91199,32.37589,309.86345,356.74137,274.49941,3768.84,187.1961,46.45766
Mazda,2019,All,27.80803,24.41832,31.06079,319.68019,364.05052,286.20783,3831.159,190.7205,46.25664
Mazda,2020,All,27.87588,24.34722,31.29779,318.80604,365.01085,283.94978,3836.511,192.4631,46.32239
Mazda,2021,All,27.43913,24.06776,30.68133,323.88048,369.24915,289.65499,3800.704,194.9229,46.19894
Mercedes,1975,All,14.70973,13.534,16.45708,623.74563,677.26478,558.33335,3933.828,123.7352,-
Mercedes,1976,All,15.85461,14.68386,17.56643,590.0952,635.89943,534.11226,3924.366,110.4482,-
Mercedes,1977,All,16.31644,15.4407,17.53174,573.24155,604.83885,534.62262,3930.585,116.5679,-
Mercedes,1978,All,15.89801,14.7354,17.59472,588.60043,633.70735,533.46974,3971.459,128.4329,-
Mercedes,1979,All,17.41057,16.36649,18.88286,548.03095,581.32086,507.34329,3949.518,118.6649,-
Mercedes,1980,All,20.30241,19.46444,21.43001,480.32762,500.32636,455.8847,3780.852,101.5791,-
Mercedes,1981,All,21.69525,21.1004,22.46945,451.06904,463.06581,436.40633,3747.266,103.2452,-
Mercedes,1982,All,22.2821,21.5411,23.26003,440.397,455.27662,422.21079,3889.729,115.4543,-
Mercedes,1983,All,22.42561,21.37506,23.85883,417.22497,437.28725,392.70441,3477.815,107.2507,-
Mercedes,1984,All,22.08689,20.85991,23.79774,415.05523,439.1158,385.64787,3329.512,113.9979,-
Mercedes,1985,All,19.62952,18.55403,21.12623,474.22045,501.36782,441.04034,3699.926,134.0871,-
Mercedes,1986,All,17.90609,16.56237,19.81991,500.18377,540.60801,452.07244,3686.085,180.494,-
Mercedes,1987,All,18.61285,17.27156,20.45304,488.62345,526.28817,444.99082,3647.985,176.3154,-
Mercedes,1988,All,17.78644,16.34946,19.74792,499.99898,543.93549,450.34704,3650.437,182.3788,-
Mercedes,1989,All,17.82522,16.3736,19.75411,498.75634,542.97184,450.05791,3743.152,185.6439,-
Mercedes,1990,All,17.79946,16.10238,20.07665,501.03678,553.80566,444.24736,3828.799,190.0228,-
Mercedes,1991,All,18.56758,16.53355,21.32659,482.9494,542.23073,420.61287,3836.136,187.6179,-
Mercedes,1992,All,18.17669,16.05035,21.039,492.09695,557.17504,425.26821,3995.72,213.3341,-
Mercedes,1993,All,18.92394,16.69003,21.85511,469.61674,532.47349,406.63267,4147.069,216.2402,-
Mercedes,1994,All,19.5682,17.06533,22.84873,454.81117,521.51739,389.50936,4099.017,228.4332,-
Mercedes,1995,All,20.29569,17.66053,23.67041,440.49973,506.16775,377.75574,4082.009,217.9633,-
Mercedes,1996,All,20.7918,17.78604,24.6886,429.32812,501.8271,361.61665,4016.454,199.9279,-
Mercedes,1997,All,20.63856,17.40245,24.85786,431.81912,512.06334,358.5748,4013.587,225.1008,-
Mercedes,1998,All,20.71909,17.73713,24.36544,429.93715,502.22556,365.5892,4040.012,213.4094,-
Mercedes,1999,All,19.95777,17.11245,23.32871,446.41019,520.64609,381.89604,4170.731,225.2112,-
Mercedes,2000,All,19.26575,16.49474,22.46912,461.28488,538.77796,395.52053,4390.074,239.4833,-
Mercedes,2001,All,19.42563,16.49181,22.78628,457.48838,538.87348,390.01535,4265.718,238.6426,-
Mercedes,2002,All,18.77352,16.0703,21.73206,473.37961,553.00782,408.93504,4120.349,231.078,-
Mercedes,2003,All,18.8938,16.0229,22.01232,470.36594,554.6435,403.72846,4097.899,247.0299,-
Mercedes,2004,All,19.05903,16.07177,22.25366,466.28813,552.9572,399.35,4130.722,243.7076,-
Mercedes,2005,All,19.3338,16.32067,22.46222,461.25608,546.45781,396.98109,4000.664,240.7447,-
Mercedes,2006,All,18.80553,15.73429,22.05284,473.54467,565.99456,403.80178,4322.753,268.7759,-
Mercedes,2007,All,18.08024,15.0704,21.28752,493.53374,592.04541,419.21791,4515.801,296.5404,-
Mercedes,2008,All,19.28845,16.15485,22.59475,464.05246,553.93878,396.24348,4351.42,275.3008,47.44017
Mercedes,2009,All,19.54537,16.3302,22.95479,457.15765,547.11858,389.29239,4262.513,269.2221,46.38192
Mercedes,2010,All,18.94624,15.89817,22.14987,470.60865,560.80252,402.56766,4474.248,276.6098,48.56533
Mercedes,2011,All,19.10806,16.06808,22.2893,467.89587,556.41488,401.11837,4495.239,275.2905,48.06645
Mercedes,2012,All,21.00064,17.63504,24.53267,427.1503,508.56788,365.73002,4449.67,282.1428,48.21133
Mercedes,2013,All,22.22884,18.73216,25.87214,402.00948,477.12542,345.34306,4346.051,283.8292,47.25607
Mercedes,2014,All,23.05124,19.44814,26.79638,386.99939,458.92763,332.73773,4369.278,287.0418,47.81949
Mercedes,2015,All,23.39981,20.00501,26.83518,380.80349,445.62212,331.90522,4357.58,285.4575,48.37202
Mercedes,2016,All,23.64929,20.34977,26.94513,375.98802,437.00125,329.9605,4326.671,281.417,48.8754
Mercedes,2017,All,23.04015,19.79107,26.29694,385.07851,448.31485,337.37391,4535.511,287.9743,49.99567
Mercedes,2018,All,23.50904,20.05567,27.0187,377.45108,442.4455,328.42021,4429.762,284.6131,49.55064
Mercedes,2019,All,23.67964,20.08692,27.37304,374.38112,441.12953,324.02706,4389.575,286.8544,49.4749
Mercedes,2020,All,23.42644,20.00937,26.89074,379.14072,443.8148,330.3515,4533.003,287.5915,51.26152
Mercedes,2021,All,24.04555,20.58128,27.54294,369.59019,431.80019,322.65984,4484.474,299.8736,50.8029
Nissan,1975,All,21.06268,18.94153,24.40267,421.93107,469.18073,364.18148,2639.884,111.9255,-
Nissan,1976,All,22.42079,20.52489,25.27418,396.37324,432.9865,351.62371,2609.582,107.2865,-
Nissan,1977,All,22.71369,21.03342,25.17139,391.26179,422.51816,353.05957,2594.706,106.4996,-
Nissan,1978,All,22.5667,21.16901,24.54764,393.81035,419.8118,362.0308,2580.053,105.7102,-
Nissan,1979,All,22.26221,20.62321,24.65727,399.19667,430.92218,360.42105,2540.988,85.7551,-
Nissan,1980,All,25.36847,23.85121,27.50716,350.31672,372.60168,323.07955,2531.244,83.6641,-
Nissan,1981,All,25.46596,23.9687,27.57098,350.61175,372.451,323.91932,2595.911,89.6566,-
Nissan,1982,All,25.54514,23.89791,27.89517,350.5472,374.61301,321.13344,2637.486,90.1436,-
Nissan,1983,All,26.99844,24.8523,30.18427,329.71013,358.17022,294.92558,2603.433,91.2976,-
Nissan,1984,All,25.96174,23.82152,29.16426,342.50476,373.2698,304.90304,2748.049,101.3346,-
Nissan,1985,All,24.1401,22.28618,26.87229,368.18207,398.80853,330.74973,2844.752,103.2771,-
Nissan,1986,All,23.31353,21.30932,26.25295,381.20596,417.05908,338.52477,2981.358,105.9025,-
Nissan,1987,All,23.51988,21.28323,26.78717,377.85064,417.55889,331.76325,2983.721,102.2907,-
Nissan,1988,All,23.64411,21.59776,26.47847,375.86526,411.47787,335.63121,2954.742,99.6038,-
Nissan,1989,All,23.80861,21.52001,26.97136,373.26837,412.96454,329.49768,2956.196,113.3862,-
Nissan,1990,All,22.99134,20.61009,26.25678,386.53683,431.19661,338.46493,3109.342,138.3872,-
Nissan,1991,All,23.03552,20.51165,26.45638,385.79556,433.266,335.91135,3169.502,143.8258,-
Nissan,1992,All,23.48095,20.83008,27.00555,378.47706,426.64264,329.08048,3132.366,141.1735,-
Nissan,1993,All,22.49863,19.91036,25.86441,395.00192,446.35065,343.5995,3260.882,144.5888,-
Nissan,1994,All,22.52422,19.86369,25.91662,394.55304,447.39916,342.90734,3248.813,142.6495,-
Nissan,1995,All,21.47528,18.96212,24.58252,413.82456,468.67123,361.51707,3380.756,153.3854,-
Nissan,1996,All,22.75314,19.93054,26.21153,390.58342,445.89869,339.04924,3279.688,153.7371,-
Nissan,1997,All,21.73231,18.98753,25.02353,408.93024,468.04396,355.1457,3374.851,153.6148,-
Nissan,1998,All,22.07831,19.1833,25.49837,402.52173,463.2675,348.53209,3509.789,155.1314,-
Nissan,1999,All,21.56403,18.60564,25.01876,412.12145,477.65075,355.21352,3569.844,159.0822,-
Nissan,2000,All,19.69668,17.1351,22.5543,451.19272,518.64303,394.02688,3700.591,175.7452,-
Nissan,2001,All,19.4456,16.97217,22.11237,457.01855,523.62204,401.90176,3709.562,181.8034,-
Nissan,2002,All,20.08572,17.50733,22.80003,442.45375,507.61587,389.78015,3680.494,190.6783,-
Nissan,2003,All,20.35909,17.53917,23.32194,436.51266,506.69445,381.05755,3694.298,213.0582,-
Nissan,2004,All,19.389,16.48022,22.44871,458.35268,539.25262,395.8802,4058.08,227.707,-
Nissan,2005,All,20.08706,17.00124,23.27383,442.42422,522.72657,381.84525,4033.836,227.945,-
Nissan,2006,All,20.00307,16.96241,23.13111,444.28174,523.92329,384.20127,4037.237,229.2077,-
Nissan,2007,All,21.30054,18.13915,24.52506,417.21945,489.93472,362.36406,3958.853,223.1658,-
Nissan,2008,All,21.89585,18.63652,25.22371,405.87609,476.85942,352.32726,3926.217,227.2689,48.45188
Nissan,2009,All,23.58907,20.32888,26.83572,376.74227,437.16127,331.16303,3729.922,208.2097,46.60432
Nissan,2010,All,23.18718,19.87125,26.52646,383.2721,447.229,335.02392,3815.201,211.6697,47.06596
Nissan,2011,All,23.34485,20.15511,26.50983,379.88206,440.19289,334.38441,3835.445,211.0751,46.93246
Nissan,2012,All,24.07919,20.76745,27.37206,368.22365,427.14689,323.77278,3745.778,203.4417,46.79135
Nissan,2013,All,26.46235,22.82962,30.07224,334.23466,387.87959,293.76568,3718.026,203.2243,47.22287
Nissan,2014,All,26.72606,23.05445,30.37542,331.89652,384.93062,291.88834,3683.991,198.1239,47.24253
Nissan,2015,All,28.01994,24.21641,31.78618,315.597,365.6067,277.87038,3642.958,188.522,47.13806
Nissan,2016,All,27.83745,23.96539,31.72064,318.46282,370.13385,279.31277,3661.131,192.0148,47.14046
Nissan,2017,All,26.89626,22.96176,30.88911,329.89233,386.56809,287.13693,3814.758,206.3446,48.01855
Nissan,2018,All,27.12667,23.22792,31.05947,326.79449,381.88528,285.23477,3805.967,200.881,47.84823
Nissan,2019,All,26.96549,23.08319,30.884,328.58802,384.133,286.68566,3811.204,202.2397,48.14343
Nissan,2020,All,27.9308,23.86701,32.0472,317.35506,371.62523,276.4144,3851.812,204.2258,48.07925
Nissan,2021,All,29.20417,25.19928,33.18253,302.69664,351.24169,266.07493,3753.19,192.0922,47.63396
Stellantis,1975,All,13.01066,12.04521,14.42365,683.05537,737.80346,616.14103,4050.757,138.4583,-
Stellantis,1976,All,13.84731,12.72954,15.51211,641.78527,698.14012,572.90712,4023.39,135.1939,-
Stellantis,1977,All,13.78508,12.63878,15.50369,644.68272,703.15351,573.21843,4090.912,136.3138,-
Stellantis,1978,All,14.98159,13.82978,16.67943,593.23536,642.63983,532.85212,3763.451,128.2048,-
Stellantis,1979,All,16.01313,14.93946,17.55514,555.08898,594.96945,506.34617,3563.187,116.1779,-
Stellantis,1980,All,18.33803,16.9362,20.402,484.62131,524.73414,435.59452,3188.326,94.118,-
Stellantis,1981,All,20.87417,19.17681,23.40626,425.74152,463.42431,379.68477,2972.224,95.1353,-
Stellantis,1982,All,20.89161,19.24553,23.33051,425.38609,461.76949,380.91749,3119.989,99.314,-
Stellantis,1983,All,21.93384,20.42167,24.11644,405.39004,435.40352,368.70691,3029.185,95.5671,-
Stellantis,1984,All,20.96463,19.40938,23.2407,423.98092,457.95162,382.46118,3079.394,98.216,-
Stellantis,1985,All,20.95168,19.38798,23.24287,424.1892,458.40032,382.37561,3163.161,109.8287,-
Stellantis,1986,All,21.01227,19.45481,23.22445,422.9522,456.81113,382.6658,3201.094,108.4271,-
Stellantis,1987,All,20.80117,19.04183,23.2979,427.23856,466.71245,381.45362,3221.069,115.7771,-
Stellantis,1988,All,20.8124,18.81622,23.65193,427.00508,472.30535,375.74093,3312.38,122.0821,-
Stellantis,1989,All,20.25234,18.21173,23.11124,438.81352,487.98214,384.53155,3404.388,124.5044,-
Stellantis,1990,All,20.07318,17.86741,23.15418,442.73013,497.38595,383.81835,3528.54,135.78,-
Stellantis,1991,All,20.12441,18.01642,22.9446,441.60309,493.27224,387.32429,3511.562,137.0605,-
Stellantis,1992,All,19.70885,17.5634,22.53095,450.9142,505.99532,394.43529,3575.249,141.7793,-
Stellantis,1993,All,19.58081,17.21713,22.70471,453.86275,516.17208,391.41666,3567.003,150.6439,-
Stellantis,1994,All,18.41166,16.19285,21.26134,482.6833,548.82262,417.9888,3768.127,164.2468,-
Stellantis,1995,All,18.98958,16.55693,22.09097,467.9935,536.75396,402.29104,3619.236,166.4476,-
Stellantis,1996,All,18.34245,15.8092,21.57004,484.50446,562.14087,412.00673,3881.979,176.9676,-
Stellantis,1997,All,18.29661,15.69717,21.55085,485.7184,566.15292,412.3735,3913.473,174.5455,-
Stellantis,1998,All,18.02398,15.37671,21.28808,493.06536,577.95204,417.4636,3990.092,177.2713,-
Stellantis,1999,All,17.64451,15.03249,20.78517,503.6694,591.18599,427.56456,4119.872,191.7483,-
Stellantis,2000,All,18.21632,15.52162,21.3652,487.85923,572.55603,415.95676,3986.498,186.1711,-
Stellantis,2001,All,17.60463,14.97567,20.60319,504.81042,593.42939,431.34102,4169.898,195.4041,-
Stellantis,2002,All,17.70093,15.16403,20.47303,502.06391,586.05804,434.08323,4202.68,204.0049,-
Stellantis,2003,All,17.9285,15.45311,20.52717,495.69114,575.09455,432.9384,4266.092,203.4195,-
Stellantis,2004,All,17.73642,15.05685,20.56254,501.05949,590.2297,432.19359,4236.471,222.7123,-
Stellantis,2005,All,18.17971,15.32738,21.14869,489.04859,580.04814,420.3998,4278.735,220.9868,-
Stellantis,2006,All,18.14131,15.25205,21.16609,490.08451,582.90962,420.05855,4374.413,231.6009,-
Stellantis,2007,All,18.56603,15.76088,21.44544,478.77586,563.98467,414.49552,4326.118,223.1365,-
Stellantis,2008,All,19.32963,16.37596,22.37395,459.83045,542.76501,397.26578,4306.348,217.2404,50.13865
Stellantis,2009,All,19.14472,16.11987,22.3017,464.20118,551.30707,398.48972,4400.989,229.3157,50.89085
Stellantis,2010,All,19.53693,16.3975,22.83507,454.88217,541.97297,389.1821,4337.596,226.6699,50.86449
Stellantis,2011,All,19.41745,16.27736,22.72453,457.68119,545.97291,391.07516,4481.984,268.1654,51.78826
Stellantis,2012,All,20.07502,16.81522,23.51381,442.68945,528.50943,377.94806,4361.577,270.6688,51.3923
Stellantis,2013,All,20.87185,17.41172,24.55266,425.66692,510.29003,361.82843,4326.289,267.3839,51.5107
Stellantis,2014,All,20.73541,17.34721,24.31862,428.46357,512.18332,365.30656,4476.166,272.2508,52.22665
Stellantis,2015,All,21.77917,18.19429,25.58159,408.8129,489.40471,348.01557,4320.728,260.4203,50.69801
Stellantis,2016,All,21.54052,18.10731,25.13579,413.30332,491.69107,354.16869,4338.853,263.4282,51.39342
Stellantis,2017,All,21.14576,17.68775,24.80396,420.30393,502.53868,358.26719,4510.389,280.2802,52.81365
Stellantis,2018,All,21.72275,18.19789,25.44011,409.20584,488.41511,349.45148,4464.801,278.0765,51.99811
Stellantis,2019,All,21.23923,17.64548,25.09483,418.43194,503.64203,354.15064,4631.17,298.8903,54.93125
Stellantis,2020,All,21.29298,17.97839,24.73289,417.66878,494.62571,359.61355,4660.71,295.0484,54.85599
Stellantis,2021,All,21.6497,18.34787,25.05047,410.29391,483.77084,354.86395,4686.395,300.0238,52.75396
Subaru,1975,All,22.52468,20.91444,24.86444,394.54505,424.92165,357.4181,2345.632,58,-
Subaru,1976,All,25.26693,23.80554,27.3165,351.7246,373.31649,325.33451,2366.223,61.2479,-
Subaru,1977,All,25.69683,23.54965,28.91958,345.84026,377.37285,307.30043,2353.122,65.35,-
Subaru,1978,All,25.00394,22.97167,28.03535,355.42399,386.8678,316.99267,2400.855,67,-
Subaru,1979,All,24.63175,22.70382,27.48424,360.79458,391.43193,323.34892,2432.104,67,-
Subaru,1980,All,23.79922,21.51585,27.34626,373.41557,413.04428,324.98047,2411.553,68.4062,-
Subaru,1981,All,26.31207,24.69256,28.6051,337.75374,359.90593,310.67883,2410.387,70.4149,-
Subaru,1982,All,26.84848,25.14353,29.2747,331.00569,353.45083,303.57275,2525.036,70.7887,-
Subaru,1983,All,26.56586,24.68483,29.2942,334.52704,360.01866,303.3706,2555.542,73.104,-
Subaru,1984,All,26.44847,24.56615,29.1813,336.01184,361.75801,304.54431,2581.092,73.4598,-
Subaru,1985,All,25.91687,24.18444,28.4037,342.90402,367.46764,312.88182,2629.159,85.6374,-
Subaru,1986,All,25.5078,23.84595,27.81127,348.40326,372.68379,319.54672,2668.059,88.4954,-
Subaru,1987,All,24.84463,23.17867,27.09665,357.70307,383.41284,327.9741,2726.217,89.6659,-
Subaru,1988,All,26.32664,24.65673,28.49428,337.56679,360.42895,311.88713,2612.603,89.7822,-
Subaru,1989,All,26.27877,24.73326,28.19963,338.18175,359.31367,315.14594,2621.284,87.8514,-
Subaru,1990,All,23.42426,21.21019,26.38326,379.39303,418.99679,336.84234,3079.538,116.127,-
Subaru,1991,All,23.49401,21.23469,26.44149,378.26671,418.5132,336.10056,3078.693,115.1073,-
Subaru,1992,All,23.28883,20.92593,26.33005,381.59926,424.68845,337.52315,3187.992,147.2725,-
Subaru,1993,All,24.13606,21.59195,27.35468,368.2042,411.58857,324.88047,3037.208,116.8437,-
Subaru,1994,All,23.19892,20.53728,26.55934,383.07816,432.72528,334.60918,3172.409,126.6293,-
Subaru,1995,All,23.44574,20.56814,27.05758,379.04543,432.07591,328.44769,3193.326,132.3067,-
Subaru,1996,All,22.48275,19.71874,25.85893,395.28077,450.68794,343.67238,3333.15,141.6439,-
Subaru,1997,All,22.88479,19.94418,26.43061,388.33652,445.59361,336.23887,3324.598,151.7028,-
Subaru,1998,All,22.37,19.6912,25.44037,397.2732,451.31833,349.32675,3400.795,157.7433,-
Subaru,1999,All,22.21926,19.47953,25.30387,399.96835,456.22255,351.2111,3427.01,159.3628,-
Subaru,2000,All,22.50957,19.7653,25.50626,394.80985,449.62647,348.4243,3444.989,163.1397,-
Subaru,2001,All,22.27995,19.53427,25.20926,398.87879,454.944,352.52923,3674.359,168.4392,-
Subaru,2002,All,21.95768,19.06738,25.02376,404.73316,466.08387,355.14241,3644.335,179.5859,-
Subaru,2003,All,21.77975,18.81465,24.87681,408.03962,472.34471,357.24031,3670.844,173.5409,-
Subaru,2004,All,21.51071,18.4138,24.72069,413.14302,482.62724,359.49647,3631.592,184.4218,-
Subaru,2005,All,21.87347,18.68785,25.10142,406.29121,475.54958,354.04366,3573.28,190.8326,-
Subaru,2006,All,21.6406,18.59795,24.68749,410.6633,477.84831,359.97988,3680.34,196.8417,-
Subaru,2007,All,22.12756,19.05048,25.19793,401.62589,466.49736,352.68775,3595.463,189.2089,-
Subaru,2008,All,22.26126,19.09285,25.44693,399.21363,465.46214,349.23668,3619.594,187.9344,42.63786
Subaru,2009,All,22.61805,19.51843,25.6965,392.9162,455.31321,345.84477,3543.072,178.6089,43.9265
Subaru,2010,All,23.4318,20.21709,26.62566,379.27096,439.57854,333.77578,3644.938,177.369,44.14015
Subaru,2011,All,23.75675,20.53402,26.94725,374.08309,432.79396,329.79244,3718.693,185.2441,44.57315
Subaru,2012,All,25.03342,21.67566,28.34597,355.00545,409.99909,313.51902,3662.841,175.6769,44.53053
Subaru,2013,All,26.45236,23.04963,29.76748,335.96245,385.55931,298.54727,3629.179,173.8332,44.37024
Subaru,2014,All,27.31929,23.92107,30.59846,325.30131,371.51347,290.4395,3632.207,171.5142,44.32084
Subaru,2015,All,28.05157,24.43224,31.58082,316.80935,363.7407,281.405,3647.524,177.1623,44.71967
